Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit
untitled-by-lydia-noura,Untitled by Lydia Noura,"<p>Exhibited in the Art Against Knives exhibition Freedom in May 2012.<br> <br> These photographs were produced in a series of workshops led by GaelleTavernier through The Right Track programme at Off Centre (www.offcentre.org.uk/). The workshops encouraged young people from Hackney, London to take a closer look at their local landscape. These young people acquired technical skills in photography and producing their images in a darkroom. <br> <br> <i>“I use film and photography as an advocacy tool for social issues.”</i>  Gaelle Tavernier </p>",Art Against Knives Gallery,Photograph,"",false,Title,Default Title,Size,21 x 29.7 cm,,,F0013,0,shopify,5,deny,manual,40.00,,true,true,,https://cdn.shopify.com/s/files/1/0190/2782/products/Lydia_Noura-FREEDOM_1_small.jpg?v=1352902237,,false,,,,,,,,,,,,,,,,,oz
untitled-by-lydia-noura,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/Lydia_Noura-FREEDOM_1_small_1.jpg?v=1352902276,,,,,,,,,,,,,,,,,,,
bondage-by-lydia-noura,Bondage by Lydia Noura,"<p>Exhibited in the Art Against Knives exhibition Freedom in May 2012.<br> <br> These photographs were produced in a series of workshops led by GaelleTavernier through The Right Track programme at Off Centre (www.offcentre.org.uk/). The workshops encouraged young people from Hackney, London to take a closer look at their local landscape. These young people acquired technical skills in photography and producing their images in a darkroom. <br> <br> <i>“I use film and photography as an advocacy tool for social issues.”</i>  Gaelle Tavernier  </p>",Art Against Knives Gallery,Photograph,"",false,Title,Default Title,Size,21 x 29.7 cm,,,F0012,0,shopify,5,deny,manual,40.00,,true,true,,https://cdn.shopify.com/s/files/1/0190/2782/products/Lydia_Noura-FREEDOM_2_small.jpg?v=1352897008,,false,,,,,,,,,,,,,,,,,oz
bondage-by-lydia-noura,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/Lydia_Noura-FREEDOM_2_small_1.jpg?v=1352897021,,,,,,,,,,,,,,,,,,,
light-awaken-by-ondre-roach,Light Awaken by Ondre Roach,"<p>Exhibited in the Art Against Knives exhibition Freedom in May 2012.<br> <br> These photographs were produced in a series of workshops led by GaelleTavernier through The Right Track programme at Off Centre (www.offcentre.org.uk/). The workshops encouraged young people from Hackney, London to take a closer look at their local landscape. These young people acquired technical skills in photography and producing their images in a darkroom. <br> <br> <i>“I use film and photography as an advocacy tool for social issues.”</i>  Gaelle Tavernier </p>",Art Against Knives Gallery,Photograph,"",false,Title,Default Title,Size,21 x 29.7,,,F0011,0,shopify,5,deny,manual,40.00,,true,true,,https://cdn.shopify.com/s/files/1/0190/2782/products/Ondre_Roach-FREEDOM_1_small.jpg?v=1352901964,,false,,,,,,,,,,,,,,,,,oz
light-awaken-by-ondre-roach,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/Ondre_Roach-FREEDOM_1_small_1.jpg?v=1352901978,,,,,,,,,,,,,,,,,,,
prejudice-by-ondre-roach,Prejudice by Ondre Roach,"<p>Exhibited in the Art Against Knives exhibition Freedom in May 2012.<br> <br> These photographs were produced in a series of workshops led by GaelleTavernier through The Right Track programme at Off Centre (www.offcentre.org.uk/). The workshops encouraged young people from Hackney, London to take a closer look at their local landscape. These young people acquired technical skills in photography and producing their images in a darkroom. <br> <br> <i>“I use film and photography as an advocacy tool for social issues.”</i>  Gaelle Tavernier </p>",Art Against Knives Gallery,Photograph,"",false,Title,Default Title,Size,21 x 29.7 cm,,,F0010,0,shopify,5,deny,manual,40.00,,true,true,,https://cdn.shopify.com/s/files/1/0190/2782/products/Ondre_Roach-FREEDOM_2_small.jpg?v=1352902118,,false,,,,,,,,,,,,,,,,,oz
prejudice-by-ondre-roach,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/Ondre_Roach-FREEDOM_2_small_1.jpg?v=1352902127,,,,,,,,,,,,,,,,,,,
untitled-iii-by-kezia-levitas,Untitled III by Kezia Levitas,"<p>Exhibited in the Art Against Knives exhibition Freedom in May 2012.<br> <br> Kezia Levitas is a London based photographer and illustrator, who has been involved with Art Against Knives for about 18 months. </p>
<p dir=""ltr""> </p>
<p dir=""ltr""><i>“I was really keen to exhibit in the gallery, and it’s great seeing everyone different responses to the same brief."" </i>Kezia Levitas </p>",Art Against Knives Gallery,Photograph,"",false,Title,Default Title,Size,29.7 x 42 cm,,,F0009,0,shopify,5,deny,manual,60.00,,true,true,,https://cdn.shopify.com/s/files/1/0190/2782/products/KeziaLevitas-FREEDOM2.jpg?v=1352903081,,false,,,,,,,,,,,,,,,,,oz
untitled-ii-by-kezia-levitas,Untitled II by Kezia Levitas,"<p>Exhibited in the Art Against Knives exhibition Freedom in May 2012.<br> <br> Kezia Levitas is a London based photographer and illustrator, who has been involved with Art Against Knives for about 18 months. </p>
<p dir=""ltr""> </p>
<p dir=""ltr""><i>“I was really keen to exhibit in the gallery, and it’s great seeing everyone different responses to the same brief."" </i>Kezia Levitas </p>",Art Against Knives Gallery,Photograph,"",false,Title,Default Title,Size,29.7 x 42 cm,,,F0008,0,shopify,5,deny,manual,60.00,,true,true,,https://cdn.shopify.com/s/files/1/0190/2782/products/KeziaLevitas5.jpg?v=1352903005,,false,,,,,,,,,,,,,,,,,oz
untitled-ii-by-kezia-levitas,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/KeziaLevitas6.jpg?v=1352903018,,,,,,,,,,,,,,,,,,,
untitled-i-by-kezia-levitas,Untitled I by Kezia Levitas,"<p>Exhibited in the Art Against Knives exhibition Freedom in May 2012.<br />
<span></span><br />
Kezia Levitas is a London based photographer and illustrator, who has been involved with Art Against Knives for about 18 months. <br />
</p>
<p dir=""ltr""><span> </span></p>
<p dir=""ltr""><i>“I was really keen to exhibit in the gallery, and it’s great seeing everyone different responses to the same brief."" </i>Kezia Levitas&nbsp;</p>
",Art Against Knives Gallery,Photograph,"",false,Title,Default Title,Size,29.7 x 42 cm,,,F0007,0,shopify,5,deny,manual,60.00,,true,true,,,,false,,,,,,,,,,,,,,,,,oz
business-as-usual-iii-by-onndre-roach-michelle-stannard,Business As Usual III by Onndre Roach & Michelle Stannard,"<p>Exhibited in the Art Against Knives exhibition Freedom in May 2012.</p>
<p dir=""ltr""> </p>
<p dir=""ltr""><i>“During this process we have been working on a professional level, and I feel like I have made new friends. To work with these guys is truly something amazing and I am privileged to work as a huge team of skilled people.” </i>Ondre Roach</p>
<i> </i>",Art Against Knives Gallery,Photograph,"",false,Title,Default Title,Size,29.7 x 42 cm,,,F0006,0,shopify,5,deny,manual,50.00,,true,true,,https://cdn.shopify.com/s/files/1/0190/2782/products/ONDRE_MICHELLE-FREEDOM5.jpg?v=1352897400,,false,,,,,,,,,,,,,,,,,oz
business-as-usual-iii-by-onndre-roach-michelle-stannard,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/ONDRE_MICHELLE-FREEDOM6.jpg?v=1352897429,,,,,,,,,,,,,,,,,,,
business-as-usual-ii-by-onndre-roach-michelle-stannard,Business As Usual II by Onndre Roach & Michelle Stannard,"<p>Exhibited in the Art Against Knives exhibition Freedom in May 2012.</p>
<p dir=""ltr""> </p>
<p dir=""ltr""><i>“During this process we have been working on a professional level, and I feel like I have made new friends. To work with these guys is truly something amazing and I am privileged to work as a huge team of skilled people.” </i>Ondre Roach</p>
<div><span><br> </span></div>",Art Against Knives Gallery,Photograph,"",false,Title,Default Title,Size,29.7 x 42 cm,,,F0005,0,shopify,5,deny,manual,50.00,,true,true,,https://cdn.shopify.com/s/files/1/0190/2782/products/ONDRE_MICHELLE-FREEDOM3.jpg?v=1352897290,,false,,,,,,,,,,,,,,,,,oz
business-as-usual-ii-by-onndre-roach-michelle-stannard,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/ONDRE_MICHELLE-FREEDOM4.jpg?v=1352897326,,,,,,,,,,,,,,,,,,,
business-as-usual-i-by-onndre-roach-michelle-stannard,Business As Usual I by Ondre Roach,"<p>Exhibited in the Art Against Knives exhibition Freedom in May 2012.</p>
<p dir=""ltr""> </p>
<p dir=""ltr""><i>“During this process we have been working on a professional level, and I feel like I have made new friends. To work with these guys is truly something amazing and I am privileged to work as a huge team of skilled people.</i>” Ondre Roach</p>
<div><span><br> </span></div>",Art Against Knives Gallery,Photograph,"",false,Title,Default Title,Size,29.7 x 42 cm,,,F0004,0,shopify,5,deny,manual,50.00,,true,true,,https://cdn.shopify.com/s/files/1/0190/2782/products/ONDRE_MICHELLE-FREEDOM1.jpg?v=1352897089,,false,,,,,,,,,,,,,,,,,oz
business-as-usual-i-by-onndre-roach-michelle-stannard,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/ONDRE_MICHELLE-FREEDOM2.jpg?v=1352897116,,,,,,,,,,,,,,,,,,,
hot-dog-by-hattie-stewart-1,Hot Dog by Hattie Stewart,"",Art Against Knives Gallery,Painting,"",false,Title,Default Title,,,,,B0001,0,shopify,0,deny,manual,45.00,,true,true,,https://cdn.shopify.com/s/files/1/0190/2782/products/Untitled-1.png?v=1352742802,,false,,,,,,,,,,,,,,,,,oz
hot-dog-by-hattie-stewart,Happy Faces by Hattie Stewart,"",Art Against Knives Gallery,Painting,"",false,Title,Default Title,,,,,B0002,0,shopify,0,deny,manual,45.00,,true,true,,https://cdn.shopify.com/s/files/1/0190/2782/products/Untitled-3.png?v=1352821298,,false,,,,,,,,,,,,,,,,,oz
whitstable-shells-by-jeremy-sanche,Whitstable Shells by Jeremy Sanche,"",Art Against Knives Gallery,Print,"",false,Title,Default Title,,,,,D0142,0,shopify,1,deny,manual,75.00,100.00,true,true,"",https://cdn.shopify.com/s/files/1/0190/2782/products/img-Y12134918-0001.png?v=1352741595,,false,,,,,,,,,,,,,,,,,oz
whitstable-pebbles-by-jeremy-sanche,Whitstable Pebbles by Jeremy Sanche,"",Art Against Knives Gallery,Print,"",false,Title,Default Title,,,,,D0142,0,shopify,1,deny,manual,75.00,100.00,true,true,"",https://cdn.shopify.com/s/files/1/0190/2782/products/img-Y12134832-0001.png?v=1352736887,,false,,,,,,,,,,,,,,,,,oz
pug-by-christopher-kane,Pug by Christopher Kane,"",Art Against Knives Gallery,Print,"",false,Title,Default Title,,,,,"",0,shopify,1,deny,manual,0.00,,true,true,,https://cdn.shopify.com/s/files/1/0190/2782/products/img-Y12141924-0001.jpg?v=1352735651,,false,,,,,,,,,,,,,,,,,oz
pug-by-christopher-kane,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/img-Y12141924-0001.jpg?v=1352735261,,,,,,,,,,,,,,,,,,,
gaga-monster-by-gary-russel,Gaga Monster by Gary Russel,"",Art Against Knives Gallery,Collage,"",false,Title,Default Title,,,,,B0006,0,shopify,1,deny,manual,40.00,,true,true,"",https://cdn.shopify.com/s/files/1/0190/2782/products/img-Y12140400-0001.jpg?v=1352738930,,false,,,,,,,,,,,,,,,,,oz
gaga-monster-by-gary-russel,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/img-Y12140400-0001.jpg?v=1352738873,,,,,,,,,,,,,,,,,,,
untitled-by-jessica-nina-mellow,Untitled by Jessica Nina Mellow,"",Art Against Knives Gallery,Print,"",false,Title,Default Title,,,,,B0005,0,shopify,1,deny,manual,45.00,,true,true,,https://cdn.shopify.com/s/files/1/0190/2782/products/Untitled_B0005.jpg?v=1352731871,,false,,,,,,,,,,,,,,,,,oz
untitled-by-jessica-nina-mellow,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/Untitled_B6.jpg?v=1352731918,,,,,,,,,,,,,,,,,,,
untitled-by-victoria-brown,Untitled by Victoria Brown,"",Art Against Knives Gallery,Print,"",true,Title,Default Title,,,,,D0139,0,shopify,1,deny,manual,50.00,120.00,true,true,"",https://cdn.shopify.com/s/files/1/0190/2782/products/d0138_victoria_brown.png?v=1352726320,,false,,,,,,,,,,,,,,,,,oz
untitled-by-victoria-brown,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/D0138-Victoria-Brown.png?v=1352726583,,,,,,,,,,,,,,,,,,,
lavender-soap-by-tracey-emin,Lavender Soap by Tracey Emin,"<p>Limited edition engraved soap with original artwork packaging for Art Against Knives as part of the Liberty ‘National Treasures’ limited edition collection.</p>
",Liberty London,Collaboration,"",true,Title,Default Title,,,,,J0001,0,shopify,0,deny,manual,10.00,,true,true,,https://cdn.shopify.com/s/files/1/0190/2782/products/soapfinal.png?v=1352486068,,false,,,,,,,,,,,,,,,,,oz
lavender-soap-by-tracey-emin,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/Picture-8-500x471.png?v=1352481101,,,,,,,,,,,,,,,,,,,
lavender-soap-by-tracey-emin,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/TRACEY_EMIN-1.jpg?v=1352481603,,,,,,,,,,,,,,,,,,,
redemption-by-andrew-frazer,Redemption by Andrew Frazer,<p>A pen and ink drawing. Dimensions 21 x 29.7 cm. Made especially for Art Against Knives.  </p>,Art Against Knives Gallery,Drawing,"",false,Title,Default Title,,,,,D0140,0,shopify,0,deny,manual,95.00,150.00,true,true,"",https://cdn.shopify.com/s/files/1/0190/2782/products/D0140_Andrew_Frazer.jpg?v=1351785590,,false,,,,,,,,,,,,,,,,,oz
redemption-by-andrew-frazer,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/D0140_Andrew_Frazer_1.jpg?v=1351785755,,,,,,,,,,,,,,,,,,,
lovebox-t-shirt-by-omar-kashoura,T-Shirt by Omar Kashoura,"<p>A men's t-shirt designed specifically by Omar Kashoura for Art Against Knives. This t-shirt is available in small, medium, large and extra large sizes. </p>",TMC,T-Shirt,"",false,Size,Small,Gender,Men's,,,J0141,0,shopify,7,deny,manual,20.00,,true,true,,https://cdn.shopify.com/s/files/1/0190/2782/products/T_SHIRT2_EDIT_DETAIL.jpg?v=1351784600,,false,,,,,,,,,,,,,,,,,oz
lovebox-t-shirt-by-omar-kashoura,,,,,,,,Medium,,Men's,,,J0148,0,shopify,7,deny,manual,20.00,,true,true,,https://cdn.shopify.com/s/files/1/0190/2782/products/T_SHIRT2_EDIT.jpg?v=1351784686,,,,,,,,,,,,,,,,,,,oz
lovebox-t-shirt-by-omar-kashoura,,,,,,,,Large,,Men's,,,J0155,0,shopify,9,deny,manual,20.00,,true,true,,,,,,,,,,,,,,,,,,,,,oz
lovebox-t-shirt-by-omar-kashoura,,,,,,,,Extra Large,,Men's,,,J0166,0,shopify,5,deny,manual,20.00,,true,true,,,,,,,,,,,,,,,,,,,,,oz
lovebox-t-shirt-by-richard-borges,T-Shirt by Richard Borges,"<p>This t-shirt was designed by Richard Borges for Art Against Knives. It is available for women in small, medium and large sizes; and men in medium, large and extra large sizes.  </p>",TMC,T-Shirt,"",false,Size,Small,Gender,Women's,,,J0105,0,shopify,7,deny,manual,20.00,,true,true,,https://cdn.shopify.com/s/files/1/0190/2782/products/T_SHIRT1_EDIT_DETAIL.jpg?v=1351784188,,false,,,,,,,,,,,,,,,,,oz
lovebox-t-shirt-by-richard-borges,,,,,,,,Medium,,Women's,,,J0112,0,shopify,4,deny,manual,20.00,,true,true,,https://cdn.shopify.com/s/files/1/0190/2782/products/T_SHIRT1_EDIT.jpg?v=1351784251,,,,,,,,,,,,,,,,,,,oz
lovebox-t-shirt-by-richard-borges,,,,,,,,Large,,Women's,,,J0116,0,shopify,9,deny,manual,20.00,,true,true,,,,,,,,,,,,,,,,,,,,,oz
lovebox-t-shirt-by-richard-borges,,,,,,,,Medium,,Men's,,,J0125,0,shopify,5,deny,manual,20.00,,true,true,,,,,,,,,,,,,,,,,,,,,oz
lovebox-t-shirt-by-richard-borges,,,,,,,,Large,,Men's,,,J0132,0,shopify,3,deny,manual,20.00,,true,true,,,,,,,,,,,,,,,,,,,,,oz
lovebox-t-shirt-by-richard-borges,,,,,,,,Extra Large,,Men's,,,J0136,0,shopify,5,deny,manual,20.00,,true,true,,,,,,,,,,,,,,,,,,,,,oz
lovebox-t-shirt-by-lou-dalton,T-Shirt by Lou Dalton,"<p>This t-shirt was designed by fashion designer Lou Dalton specifically for Art Against Knives. It is available for women in small, medium and large sizes; and men in small, medium, large and extra large.  </p>",TMC,T-Shirt,"",true,Size,Small,Gender,Men's,,,J0076,0,shopify,0,deny,manual,20.00,,true,true,"",https://cdn.shopify.com/s/files/1/0190/2782/products/T_SHIRT3_EDIT_DETAIL.jpg?v=1351784043,,false,,,,,,,,,,,,,,,,,oz
lovebox-t-shirt-by-lou-dalton,,,,,,,,Medium,,Men's,,,J0085,0,shopify,4,deny,manual,20.00,,true,true,,https://cdn.shopify.com/s/files/1/0190/2782/products/T_SHIRT3_EDIT.jpg?v=1351784102,,,,,,,,,,,,,,,,,,,oz
lovebox-t-shirt-by-lou-dalton,,,,,,,,Large,,Men's,,,J0092,0,shopify,2,deny,manual,20.00,,true,true,,,,,,,,,,,,,,,,,,,,,oz
lovebox-t-shirt-by-lou-dalton,,,,,,,,Extra Large,,Men's,,,J0100,0,shopify,0,deny,manual,20.00,,true,true,,,,,,,,,,,,,,,,,,,,,oz
lovebox-t-shirt-by-basso-brooke,T-Shirt by Basso & Brooke,"<p>This ladies t-shirt was designed by Basso and Brooke specifically for Art Against Knives. It is available in small, medium and large sizes. </p>",TMC,T-Shirt,"",false,Size,Small,Gender,Women's,,,"",0,shopify,8,deny,manual,20.00,,true,true,,https://cdn.shopify.com/s/files/1/0190/2782/products/T_SHIRT4_EDIT_DETAIL.jpg?v=1351783011,,false,,,,,,,,,,,,,,,,,oz
lovebox-t-shirt-by-basso-brooke,,,,,,,,Medium,,Women's,,,"",0,shopify,9,deny,manual,20.00,,true,true,,https://cdn.shopify.com/s/files/1/0190/2782/products/T_SHIRT4_EDIT.jpg?v=1351783097,,,,,,,,,,,,,,,,,,,oz
lovebox-t-shirt-by-basso-brooke,,,,,,,,Large,,Women's,,,"",0,shopify,8,continue,manual,20.00,,true,true,,,,,,,,,,,,,,,,,,,,,oz
made-in-london-by-gardio-studiage,Made in London by Gardio Studiage,"<p>A two colour screen print. Dimensions 52 x 72 cm. An edition size of /8, numbered and signed by the artist.  </p>
<p>This Item is framed (Postage will be more) Please drop us a line for more details: hello@artagainstknives.com </p>
<style type=""text/css""><!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
--></style>",Art Against Knives Gallery,Print,"",true,Title,Default Title,,,,,D0146,0,shopify,0,deny,manual,200.00,,true,true,"",https://cdn.shopify.com/s/files/1/0190/2782/products/made_in_london.jpg?v=1351787932,,false,,,,,,,,,,,,,,,,,oz
made-in-london-by-gardio-studiage,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/made_in_london_1.jpg?v=1351787986,,,,,,,,,,,,,,,,,,,
life-flow-by-kayode-thomas-1,Life Flow by Kayode Thomas,"<p>A one colour screen print. Dimensions 21 x 29.7. Edition size of /5, numbered and signed by the artist. <br>
</p>
<p><img src=""//cdn.shopify.com/s/files/1/0190/2782/files/roselogo_compact.png?1807""> </p>
",Art Against Knives Gallery,Print,"",false,Title,Default Title,,,,,H0001,0,shopify,2,deny,manual,20.00,,true,true,,https://cdn.shopify.com/s/files/1/0190/2782/products/KAYODETHOMAS_H0001_-_H0003_EDIT.jpg?v=1351777583,,false,,,,,,,,,,,,,,,,,oz
life-flow-by-kayode-thomas-1,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/KAYODETHOMAS_H0001_-_H0003_EDIT_1.jpg?v=1351777635,,,,,,,,,,,,,,,,,,,
make-life-simple-by-peter-mcgabe,Make Life Simple by Peter McCabe,"<p>A digital print. Dimensions 42 x 59.4 cm. Created especially for Art Against Knives.  </p>
<p><span style=""text-decoration: underline;"">This piece reads:<br> </span><span>Buy less sh*t you don't need. Give away what you don't use. Recycle. Live within your means. Don't let social networks rule your life - they make big bucks while you chatter. Admit it when you are wrong. Say sorry and mean it. Don't lie. Think before opening your wallet; or mouth or heart - but never close any of them completely. Say ""YES"" more often. But ""NO"" when you have to draw the line. Throw away your TV and think. Read. Write. Draw. Play. Imagine. Let judges be judged. Avoid drama queens. Go running - or maybe just walk a bit more. Take the odd risk. Have business meetings standing up - they're quicker and more productive. Always be early. Be a master, not a jack. </span>Work with great people... like Art Against Knives. </p>",Art Against Knives Gallery,Print,"",true,Title,UNFRAMED PRINT,,,,,C0002,0,shopify,3,deny,manual,100.00,,true,true,"",https://cdn.shopify.com/s/files/1/0190/2782/products/make_life_simple_poster.png?v=1440774151,,false,,,,,,,,,,,,,,,,,oz
make-life-simple-by-peter-mcgabe,,,,,,,,FRAMED PRINT,,,,,"",0,shopify,0,deny,manual,180.00,,true,true,,,,,,,,,,,,,,,,,,,,,oz
life-flow-by-kayode-thomas,Untitled by Kayode Thomas,"<p>A three colour screen print. Dimensions 29.7 x 42 cm. Edition size of /2.  </p>
<p><img src=""//cdn.shopify.com/s/files/1/0190/2782/files/roselogo_compact.png?1805"" alt=""""> </p>",Art Against Knives Gallery,Print,"",false,Title,Default Title,,,,,H0001,0,shopify,1,deny,manual,50.00,,true,true,,https://cdn.shopify.com/s/files/1/0190/2782/products/1_Kayode_Thomas_H0010.jpg?v=1351775989,,false,,,,,,,,,,,,,,,,,oz
life-flow-by-kayode-thomas,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/1_Kayode_Thomas_H11.jpg?v=1351776007,,,,,,,,,,,,,,,,,,,
pack-of-25-of-postcards,Pack of 25 of Postcards,"<p>We have put together a selection of 25 postcards all donated by students graduating in MA Photography from LCC. &nbsp;</p>
",MA Photography London College of Communication,Print,"",true,Title,Default Title,,,,,K0001,0,shopify,26,deny,manual,5.00,,true,true,,https://cdn.shopify.com/s/files/1/0190/2782/products/IMG_3098_EDIT.jpg?v=1351772703,,false,,,,,,,,,,,,,,,,,oz
pack-of-25-of-postcards,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/IMG_3080_EDIT.jpg?v=1351773020,,,,,,,,,,,,,,,,,,,
pack-of-25-of-postcards,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/IMG_3086_EDIT.jpg?v=1351773048,,,,,,,,,,,,,,,,,,,
pack-of-25-of-postcards,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/IMG_3087_EDIT.jpg?v=1351773066,,,,,,,,,,,,,,,,,,,
pack-of-25-of-postcards,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/IMG_3090_EDIT.jpg?v=1351773082,,,,,,,,,,,,,,,,,,,
pack-of-25-of-postcards,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/IMG_3092_EDIT.jpg?v=1351773103,,,,,,,,,,,,,,,,,,,
can-you-cook-by-harriet-alana-shepherd,Can You Cook by Harriet Alana Shepherd,"<p>A three colour screen print. Dimensions 28.8 x 38.8 cm. Edition size of /12, numbered and signed by the artist. </p>",Art Against Knives Gallery,Print,"",false,Title,Default Title,Size,28.8 x 38.8 cm,,,D0132,0,shopify,2,deny,manual,20.00,30.00,true,true,,https://cdn.shopify.com/s/files/1/0190/2782/products/Can_You_Cook_D0133.jpg?v=1351785031,,false,,,,,,,,,,,,,,,,,oz
can-you-cook-by-harriet-alana-shepherd,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/Can_You_Cook_D134.jpg?v=1351785051,,,,,,,,,,,,,,,,,,,
rasta-brash-by-harriet-alana-shepherd,Rasta Brash by Harriet Alana Shepherd,<p>A three colour screen print on grey paper. Dimensions 29.7 x 41.2 cm. Edition size of /10.  </p>,Art Against Knives Gallery,Print,"",false,Title,Default Title,,,,,D0128,0,shopify,1,deny,manual,15.00,20.00,true,true,"",https://cdn.shopify.com/s/files/1/0190/2782/products/HARRIETALANASHEPHERD_-_D0128EDIT.jpg?v=1351771958,,false,,,,,,,,,,,,,,,,,oz
rasta-brash-by-harriet-alana-shepherd,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/HARRIETALANASHEPHERD_-_D0128EDIT_1.jpg?v=1351771988,,,,,,,,,,,,,,,,,,,
wolf,Wolf,"<p>A one colour screen print. Dimensions 29.7 x 42 cm. An edition of /8, numbered and signed by the artist. This was printed by a young person in an Art Against Knives workshop. </p>
<p><img src=""//cdn.shopify.com/s/files/1/0190/2782/files/roselogo_compact.png?1805"" alt=""""> </p>",BD Network,Print,"",true,Size,42 x 29.7 cm,,,,,D0090,0,shopify,1,deny,manual,40.00,,true,true,"",https://cdn.shopify.com/s/files/1/0190/2782/products/Creatures_Visual_Referenece-1.jpg?v=1351718918,,false,,,,,,,,,,,,,,,,,oz
wolf,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/Creatures_Visual_Referenece-505150.jpg?v=1351718966,,,,,,,,,,,,,,,,,,,
nas-by-harriet-alana-shepherd,NAS by Harriet Alana Shepherd,"<p>A two colour screen print. Dimensions 35 x 50.2 cm. Edition size of /12, numbered and signed by the artist. </p>
",Art Against Knives Gallery,Print,"",false,Title,Default Title,,,,,D0124,0,shopify,0,deny,manual,20.00,,true,true,"",https://cdn.shopify.com/s/files/1/0190/2782/products/harrietalanashepherd___d0124___d0125edit.jpg?v=1351716039,,false,,,,,,,,,,,,,,,,,oz
nas-by-harriet-alana-shepherd,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/HARRIETALANASHEPHERD_-_D0124_-_D0125EDIT.jpg?v=1351716527,,,,,,,,,,,,,,,,,,,
bear,Bear,"<p>A one colour screen print. Dimensions 29.7 x 42 cm. Edition of /8, numbered and signed by the artist. This was printed by a young person in an Art Against Knives workshop. </p>
<p style=""text-align: left;""><img src=""//cdn.shopify.com/s/files/1/0190/2782/files/YoungPersonStampStraight2_medium.png?1939"" alt=""""></p>",BD Network,Print,"",true,Size,42 x 29.7 cm,,,,,D0083,0,shopify,1,deny,manual,25.00,,true,true,"",https://cdn.shopify.com/s/files/1/0190/2782/products/creatures_visual_referenece_3.jpg?v=1351715178,,false,,,,,,,,,,,,,,,,,oz
